station_id,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_STATION NAME,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_OCT,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_NOV,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_DEC,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_JAN,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_FEB,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_MAR,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_APR,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_MAY,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_JUN,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_JUL,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_AUG,Monthly Observed Precipitation Ordered By Station Name - Water Year 2016_SEP
FLD,FOLSOM DAM - FOLSOM POINT (DYKE 8),0.19,,2.56,4.29,1.06,4.53,1.54,0.08,0.0,0.0,0.0,0.0
FRH,FORESTHILL R S,1.51,4.94,16.1,11.93,7.66,16.17,2.96,1.06,0.0,0.0,0.0,0.07
FBW,FORT BIDWELL,0.48,1.23,3.82,4.39,0.48,2.73,0.53,2.68,,0.14,,0.07
FJN,FORT JONES RS,0.56,0.81,7.13,6.3,1.58,4.87,1.1,0.48,0.7,0.0,0.04,0.0
FRR,FORT ROSS,0.27,2.0,11.17,10.58,,9.69,1.33,,,0.0,,
FRO,FRESNO WB AIRPORT,0.49,1.74,2.97,4.42,0.33,2.93,1.06,0.29,0.06,0.0,0.0,0.0
GAS,GASQUET RANGER STATION,2.92,9.32,36.72,21.8,7.36,21.4,5.08,0.3,0.3,1.0,0.0,0.0
GLK,GEM LAKE,1.48,1.6,1.12,2.88,0.84,1.96,0.88,1.0,0.8,0.04,0.0,0.12
GRG,GEORGETOWN RS (USFS),1.63,5.23,12.33,15.76,2.56,14.41,3.23,1.56,,,,
GNF,GIANT FOREST (USACE),2.01,4.7,6.25,9.94,4.11,6.26,2.81,2.23,0.47,0.34,0.0,0.0
GLV,GLENVILLE FS,1.34,2.99,5.55,6.11,1.0,3.1,0.35,0.3,0.0,0.0,0.0,0.0
GRO,GRANT GROVE,2.82,5.18,6.09,8.55,2.02,7.65,3.32,0.66,0.41,0.0,0.1,0.02
GSV,GRASS VALLEY,0.7,5.73,12.3,15.05,1.87,16.62,2.17,1.21,0.0,0.0,0.0,0.0
GNV,GREENVILLE RS,,,,,,,,,,,,
GVL,GROVELAND R S,0.8,2.84,6.38,9.7,1.67,10.17,3.02,,,,,
GHS,GROVER HOT SPRINGS,1.31,2.6,4.69,4.1,0.97,3.49,,0.46,0.13,0.0,0.21,0.21
HWE,HAIWEE,1.19,0.0,0.04,0.7,0.84,0.01,0.25,0.32,0.09,0.01,0.01,0.0
HND,HANFORD REFINERY,0.05,0.85,1.34,2.87,0.01,2.0,0.57,0.17,0.04,0.0,0.0,0.0
HAP,HAPPY CAMP RS,0.86,2.65,8.26,,2.86,11.95,1.09,0.45,,,,
HRR,HARRISON GULCH RS,,,,,,,,,,,,
HSD,HENSHAW DAM,1.52,1.12,3.09,6.09,0.05,2.76,0.58,0.58,0.0,0.0,0.0,0.91
HTH,HETCH HETCHY,2.87,3.86,8.13,9.14,1.59,7.77,3.36,0.55,2.44,0.0,0.0,0.05
HCK,HOCKETT MEADOW (USACE),2.28,4.32,6.3,7.61,7.9,5.67,2.89,1.85,0.9,0.1,0.08,0.08
HLS,HOLLISTER,,,,,1.48,3.48,0.78,0.13,0.0,0.0,0.0,0.0
HOO,HOOPA,0.66,3.19,18.95,13.03,4.07,11.23,2.18,0.67,,0.14,0.0,0.0
HSS,HOSSACK,2.08,7.88,10.41,12.33,3.97,5.61,2.81,2.06,0.83,0.7,0.89,0.18
IMP,IMPERIAL VALLEY,0.41,0.0,0.02,1.2,0.0,,,,0.08,,,
IPN,INDEPENDENCE,0.86,0.01,0.07,0.97,0.84,0.22,0.29,0.1,0.51,0.0,0.0,0.0
ISB,ISABELLA DAM,1.34,1.46,3.83,4.38,0.73,1.77,0.75,0.48,0.37,0.13,0.06,0.14
JNL,JUNCAL DAM,0.25,0.29,0.38,4.55,2.63,4.36,0.32,0.09,0.0,0.0,0.0,0.0
KP3,KERN PH 3,1.55,1.01,4.01,1.62,1.23,1.3,0.24,0.07,0.0,0.0,0.0,0.06
KR3,KERN R INTAKE NO. 3,1.13,1.29,1.63,4.17,0.72,1.5,0.44,0.04,,,,
OLS,KLAMATH RIVER AT ORLEANS,0.73,3.64,22.41,13.15,3.86,11.56,2.65,0.68,0.56,0.12,0.02,0.0
LGB,LAGUNA BEACH,0.32,0.6,0.65,1.77,0.42,,,,,,,
LGT,LAGUNITAS LAKE,0.0,1.84,11.85,16.68,2.09,14.06,2.11,0.22,0.04,0.0,0.0,0.0
ARR,LAKE ARROWHEAD,,,,,,,,,,,,
LPA,LAKE PALMDALE,,,,,,,,,,,,
SBN,LAKE SABRINA,2.4,0.64,1.24,3.63,0.2,1.44,1.8,1.79,1.2,0.04,0.32,0.04
LNC,LANCASTER FSS FAA,,,,,,,,,,,,
LMC,LEMON COVE,1.96,2.81,3.88,3.58,1.67,3.04,0.88,0.33,0.07,0.0,0.0,0.0
LND,LINDSAY,0.99,2.16,3.16,3.26,1.5,2.37,1.12,0.1,0.0,0.0,0.0,0.0
LDG,LODGEPOLE,2.31,4.92,7.14,7.14,2.53,6.55,3.16,0.96,0.32,0.0,0.0,0.0
LCC,LOS ANGELES CIVIC CENTER,0.45,0.01,0.57,3.17,0.79,1.6,0.24,0.05,0.0,0.0,0.0,0.0
LAN,LOS ANGELES-WSO AIRPORT,0.1,0.06,1.08,2.94,0.73,1.46,0.29,0.59,0.0,0.0,0.0,0.01
LSB,LOS BANOS,0.44,2.27,0.84,4.04,0.99,2.24,1.34,0.99,0.0,0.0,0.0,0.0
LYT,LYTLE CREEK R S,,,,,,,,,,,,
MDR,MADERA,0.29,1.81,2.24,3.63,0.06,3.12,1.59,0.0,0.0,0.0,0.0,0.0
MRP,MARIPOSA RANGER STATION,0.32,1.16,8.56,8.52,0.69,7.29,2.87,0.24,0.0,0.0,0.0,0.0
MKV,MARKLEEVILLE,,,,,,,,,,,,
MLD,MCCLOUD,0.91,1.72,9.58,12.17,4.16,13.24,1.89,1.73,0.27,0.26,0.0,0.0
MFS,MERCED,0.38,1.72,2.01,3.02,0.65,2.35,1.07,,0.0,0.0,0.0,0.0
MNR,MINERAL (OBSERVER),1.59,3.91,12.34,17.22,3.27,19.4,2.78,1.79,,,,
MCN,MOCCASIN,0.92,4.6,6.73,7.65,1.22,6.9,3.1,0.17,0.0,0.0,0.0,0.02
MDE,MODESTO IRRIG DISTRICT OFFICE,0.21,2.43,2.09,5.69,,,,,,,,0.0
MTY,MONTEREY AIRPORT,,,,,,,,,,,,
HML,MOUNT HAMILTON,0.5,3.62,6.67,8.55,2.28,9.5,2.91,,0.0,0.0,0.0,0.0
MSC,MOUNT SHASTA CITY,0.59,1.44,7.46,12.77,3.03,10.89,1.88,0.9,2.37,0.0,0.0,0.08
WLS,MOUNT WILSON NO 2,1.96,0.72,1.93,11.21,1.68,4.59,1.68,0.96,0.0,0.0,0.0,0.12
MNH,MOUNTAIN HOME,1.93,6.05,7.32,12.81,3.33,4.68,2.87,1.57,0.55,0.05,0.57,0.05
MTP,MOUNTAIN PASS,,,,,,,,,,,,
NSH,NAPA FIRE DEPARTMENT,0.02,1.82,4.53,7.47,0.92,8.36,1.0,0.3,0.0,0.0,0.0,0.0
NDL,NEEDLES,0.69,0.0,0.08,0.59,0.01,0.03,1.59,0.01,0.0,0.0,0.0,0.0
NVD,NEVADA CITY,0.99,5.1,13.84,17.44,1.94,19.22,2.5,1.72,0.0,0.0,0.0,0.0
EXC,NEW EXCHEQUER-LK MCCLURE,0.76,4.49,5.32,6.42,0.59,6.12,2.14,0.17,0.0,0.0,0.0,0.0
NLD,NILAND,,,,,,,,,0.0,,,
NFR,NORTH FORK R S,0.77,3.82,7.63,9.66,0.72,7.41,2.66,1.65,,0.0,0.0,0.02
OSM,OCEANSIDE MARINA,0.32,0.35,0.47,1.99,0.13,0.97,0.22,,0.0,0.0,0.0,0.2
ORL,ORLAND,0.07,1.47,2.42,6.99,0.28,,,,,,,
OXN,OXNARD,0.28,0.03,0.35,3.3,0.3,2.16,0.16,0.02,0.01,0.0,0.0,0.0
PCF,PACIFIC HOUSE (OBSERVER),2.89,5.41,13.86,13.81,3.04,14.6,4.22,1.1,0.0,0.0,0.0,0.07
PMS,PALM SPRINGS,0.15,0.0,0.04,2.26,0.0,0.02,0.14,0.02,0.0,0.0,0.0,0.92
PNH,PANOCHE 2W,0.46,,1.14,4.21,0.53,2.25,0.86,,0.0,0.0,0.0,0.0
PSC,PASCOES,,,,,,,,,,,,
PNF,PINE FLAT DAM,0.37,3.96,4.06,7.51,0.48,3.85,1.96,1.13,0.09,0.04,0.0,0.01
PCV,PLACERVILLE,2.05,6.05,9.6,8.43,2.12,11.23,2.74,0.86,0.62,0.0,0.0,0.0
PLE,PLUMAS EUREKA PARK,1.71,3.76,12.47,16.18,4.57,18.99,2.28,1.52,1.18,0.0,0.08,0.0
PRT,PORTOLA,1.5,2.93,4.22,5.0,1.28,7.38,1.76,1.9,0.24,0.0,0.01,0.0
QNC,QUINCY RS (USFS),1.65,3.32,7.88,12.97,2.44,18.26,1.94,1.88,1.27,0.0,0.0,0.01
RBF,RED BLUFF,0.22,1.15,4.11,8.8,0.41,6.21,1.28,,,,,
RGC,ROGERS CAMP,1.38,4.79,6.06,11.26,2.46,5.42,2.65,1.57,0.54,0.2,0.25,0.33
HEA,RUSSIAN RIVER NEAR HEALDSBURG,,,,,,,,,,,,
SCR,SACRAMENTO WB CITY,0.44,1.35,1.83,5.85,0.85,4.65,1.48,0.59,0.0,0.0,0.0,0.0
SGH,SAGEHEN CREEK,1.77,3.57,8.52,8.21,1.86,9.59,3.32,2.01,,,,
SAP,SALINAS NO2,0.23,3.3,3.03,5.66,0.7,4.36,0.67,0.14,0.01,0.0,0.5,0.0
SDG,SAN DIEGO NWS-LINDBERGH FIELD,0.43,1.54,0.88,3.21,0.05,0.76,0.55,0.44,0.0,0.0,0.0,0.32
SFF,SAN FRANCISCO WB AP,0.0,1.42,3.37,5.58,0.85,5.14,0.82,0.05,0.0,0.0,0.0,0.0
SLO,SAN LUIS OBISPO POLY,0.13,1.78,2.5,6.85,0.67,5.84,0.25,0.0,0.0,0.0,0.0,0.0
ANA,SANTA ANA FIRE STA,0.06,0.04,0.85,2.26,0.25,0.97,0.15,0.58,0.03,0.0,0.0,0.02
SBR,SANTA BARBARA SANITATION,0.48,0.1,0.3,5.79,0.47,2.51,0.54,0.01,0.01,0.0,0.0,0.01
CRZ,SANTA CRUZ,0.08,4.42,6.43,11.8,1.03,7.65,0.89,0.25,0.0,0.01,0.04,0.03
SRO,SANTA ROSA,0.03,1.48,7.01,10.87,0.74,10.11,1.35,,,,,
SCA,SCOTIA,0.68,4.85,14.81,15.17,3.45,12.25,2.74,1.36,0.07,0.06,0.0,0.0
SRR,SIERRAVILLE RS (USFS),1.09,3.3,6.62,6.45,1.35,7.57,2.06,1.75,0.04,0.0,0.13,0.0
SLP,SLY PARK,4.69,5.72,13.55,13.54,5.44,13.36,4.16,0.99,0.0,0.0,0.0,0.0
SSG,SODA SPRINGS 1 E,3.19,5.35,14.45,16.22,3.23,17.17,4.25,3.35,0.51,0.0,0.0,0.08
SOR,SONORA RS,1.62,5.07,3.95,8.44,1.27,8.09,2.12,0.07,0.44,0.0,0.0,0.0
SEY,SOUTH ENTRANCE YOSEMITE,3.4,4.3,6.73,8.3,1.68,6.65,3.57,0.84,,0.0,0.0,0.04
SLK,SOUTH LAKE,2.48,0.4,1.72,5.74,0.68,1.88,2.54,0.92,1.24,0.08,0.28,0.08
SGV,SPRINGVILLE TULE POWERPLANT,1.5,4.31,4.11,7.41,2.23,4.02,2.31,0.2,0.08,0.0,0.0,0.0
SNH,STANDISH HICKEY PARK,,,,,,,,,,,,
STK,STOCKTON FIRE STATION 4,,,,,,,,,,,,
STG,STONY GORGE RESERVOIR,0.13,0.7,3.08,7.36,0.46,5.12,0.51,0.92,0.26,0.0,0.0,0.0
STV,STRAWBERRY VALLEY,1.12,5.84,18.22,26.9,2.94,28.61,2.84,1.94,1.31,0.0,0.0,0.03
SCC,SUCCESS DAM,1.18,1.87,4.02,5.53,0.68,2.47,1.19,0.49,0.24,0.09,0.08,0.02
SSN,SUSANVILLE,0.72,1.56,2.66,4.42,0.84,2.39,1.08,1.22,0.05,0.0,0.0,0.0
TAC,TAHOE CITY (NWS),2.22,2.43,7.02,7.92,1.19,6.9,2.85,1.32,0.3,0.0,0.11,0.06
TRM,TERMINUS DAM,1.75,2.44,4.02,5.47,0.24,2.99,0.84,0.38,0.0,0.0,0.0,0.02
3RV,THREE RIVERS PH NO 1,1.39,3.45,4.01,7.01,1.51,3.5,2.23,,0.02,0.0,0.0,0.0
TCR,TRACY CARBONA,0.37,2.1,1.61,2.78,,,,,0.0,0.0,0.0,0.0
TKE,TRUCKEE RS (OBS),1.66,2.86,5.86,6.62,1.88,6.27,2.73,2.21,0.44,0.0,0.14,0.01
29P,TWENTYNINE PALMS,0.26,0.05,0.0,0.62,0.01,0.03,0.31,0.05,0.0,0.0,0.0,0.4
UKH,UKIAH,0.07,2.3,9.84,10.78,2.25,9.2,1.27,0.45,0.36,0.0,0.0,0.0
VNT,VINTON,1.49,2.62,1.93,2.42,1.52,3.03,1.87,1.4,0.02,0.0,0.32,0.17
VSL,VISALIA,1.27,0.81,1.5,2.45,0.75,1.96,0.66,0.32,0.05,0.0,0.0,0.0
WSC,WASCO,0.17,1.38,0.82,1.27,1.31,0.75,1.66,0.11,0.0,0.0,0.0,0.0
WTW,WATSONVILLE WATER,0.06,3.43,4.99,8.4,1.3,8.03,0.85,0.0,0.01,0.0,0.05,0.0
WVR,WEAVERVILLE RS,0.66,1.35,12.4,13.28,1.27,10.17,1.5,0.77,1.13,0.0,0.0,0.0
WPT,WEST POINT,1.89,7.54,10.81,14.65,1.69,10.56,3.59,0.76,0.0,0.0,0.0,0.0
WDL,WOODLAND 1 WNW,0.05,2.47,,,,,,,,,,
YSV,YOSEMITE HEADQUARTERS,3.37,3.74,9.05,9.53,1.87,7.46,2.7,0.54,0.51,0.0,0.0,0.03
YRK,YREKA,0.35,0.49,6.61,5.44,1.43,4.3,1.33,0.55,1.03,0.08,0.0,0.0
